length	neuron_reads	ipsc_reads
-71	0	2
-70	8	21
-69	5	74
-68	14	21
-67	6	110
-66	8	99
-65	16	46
-64	27	4
-63	48	18
-62	35	17
-61	21	68
-60	45	49
-59	57	20
-58	197	44
-57	715	60
-56	188	53
-55	129	159
-54	9	42
-53	4	13
-52	10	35
-51	11	11
-50	5	112
-49	10	14
-48	2	30
-47	23	47
-46	7	100
-45	8	14
-44	4	81
-43	0	20
-42	39	204
-41	13	49
-40	43	57
-39	19	39
-38	26	163
-37	44	21
-36	11	139
-35	20	328
-34	91	1569
-33	0	195
-32	17	267
-31	16	83
-30	20	156
-29	50	66
-28	17	277
-27	34	201
-26	41	263
-25	137	830
-24	84	362
-23	77	2110
-22	118	1165
-21	179	472
-20	113	669
-19	175	1791
-18	141	935
-17	203	1297
-16	137	1138
-15	223	1348
-14	132	568
-13	149	349
-12	257	5289
-11	245	4562
-10	504	4038
-9	441	1402
-8	492	521
-7	698	796
-6	564	989
-5	1712	9451
-4	1276	1315
-3	1816	5313
-2	5405	1420
-1	15372	3101
0	63841	7646
1	16137	3598
2	5430	1478
3	156	704
4	55	553
5	79	417
6	9	332
7	3	187
8	0	270
9	9	294
10	1	343
11	21	548
12	0	243
13	0	133
14	1	140
15	0	117
16	3	150
17	0	176
18	3	123
19	0	121
20	0	73
21	0	66
22	27	34
23	11	59
24	15	53
25	2	67
26	0	40
27	0	36
28	0	46
29	1	46
30	0	35
31	0	49
32	0	16
33	8	16
34	0	16
35	0	21
36	1	8
37	2	10
38	3	10
39	3	8
40	1	17
41	9	14
42	21	15
43	2	12
44	0	9
45	2	8
46	3	5
47	3	2
48	46	7
49	2	12
50	16	1
51	1	3
52	0	12
53	0	0
54	0	5
55	5	2
56	0	2
57	0	4
58	0	1
59	0	11
60	0	8
61	0	9
62	0	4
63	0	2
64	7	0
65	0	1
66	0	0
67	1	6
68	0	1
69	0	1
70	1	3
71	2	0
72	0	0
73	0	0
74	0	4
75	1	2
76	0	1
77	0	0
78	1	0
79	0	0
80	0	1
81	1	0
82	0	5
83	2	0
84	1	2
85	0	1
86	0	0
87	1	1
88	0	1
89	0	0
90	0	0
91	0	0
92	8	0
93	0	0
94	0	1
95	0	5
96	0	2
97	0	1
98	0	1
99	0	2
100	0	2
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	1	0
