set	k	guides	genes	joint_conservation	p_escape	p_escape_if_independent
best_k1	1	UL19_36407+	UL19	1.0	0.00475423268917531	0.00475423268917531
best_k2	2	UL19_36407+;UL19_37448-	UL19;UL19	1.0	2.2602728462823098e-05	2.26027284628231e-05
best_k3	3	UL19_36407+;UL19_37448-;UL19_37908+	UL19;UL19;UL19	1.0	1.074586305225068e-07	1.074586305225068e-07
best_k4	4	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+	UL19;UL19;UL19;UL19	1.0	5.108833339641135e-10	5.108833339641135e-10
best_k5	5	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+	UL19;UL19;UL19;UL19;UL19	1.0	2.4288582466870552e-12	2.4288582466870556e-12
best_k6	6	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-	UL19;UL19;UL19;UL19;UL19;UL29	1.0	1.154735727377263e-14	1.1547357273772629e-14
best_k7	7	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-;UL29_61292+	UL19;UL19;UL19;UL19;UL19;UL29;UL29	1.0	5.489882342455611e-17	5.489882342455613e-17
best_k8	8	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-;UL29_61292+;UL29_61578+	UL19;UL19;UL19;UL19;UL19;UL29;UL29;UL29	1.0	2.61001780922288e-19	2.61001780922288e-19
amrani_lead_pair	2	RL2_4496+;UL54_115156+	RL2;UL54	0.825136612021858	0.0009719879026815389	0.004268894723186181
best_k1_max1_per_gene	1	UL19_36407+	UL19	1.0	0.00475423268917531	0.00475423268917531
best_k2_max1_per_gene	2	UL19_36407+;UL29_58709-	UL19;UL29	1.0	2.2602728462823098e-05	2.26027284628231e-05
best_k3_max1_per_gene	3	UL19_36407+;UL29_58709-;UL30_64524+	UL19;UL29;UL30	1.0	1.074586305225068e-07	1.074586305225068e-07
best_k4_max1_per_gene	4	UL19_36407+;UL29_58709-;UL30_64524+;UL5_12570+	UL19;UL29;UL30;UL5	1.0	5.108833339641189e-10	5.10883333964119e-10
best_k5_max1_per_gene	5	UL19_36407+;UL29_58709-;UL30_64524+;UL5_12570+;UL52_109245+	UL19;UL29;UL30;UL5;UL52	1.0	2.428858246687081e-12	2.4288582466870815e-12
best_k6_max1_per_gene	6	UL19_36407+;UL29_58709-;UL30_64524+;UL5_12570+;UL52_109245+;UL54_114833-	UL19;UL29;UL30;UL5;UL52;UL54	1.0	1.1547357273772752e-14	1.1547357273772755e-14
best_k7_max1_per_gene	7	RL2_5080+;UL19_36407+;UL29_58709-;UL30_64524+;UL5_12570+;UL52_109245+;UL54_114833-	RL2;UL19;UL29;UL30;UL5;UL52;UL54	1.0	1.0953664506819398e-16	1.09536645068194e-16
