group	label	inframe_fraction	median_q_site	spearman_q_vs_baseline	top20_site_overlap_vs_baseline	p_escape_best_k1	p_escape_best_k2	p_escape_best_k3	p_escape_best_k4	p_escape_best_k5	p_escape_best_k6	min_k_below_0.001	min_k_below_1e-06	p_escape_amrani_pair	p_escape_baseline_best_k1	p_escape_baseline_best_k2	p_escape_baseline_best_k3	p_escape_baseline_best_k4	p_escape_baseline_best_k5	p_escape_baseline_best_k6	p_escape_baseline_best_k7	p_escape_baseline_best_k8	best_set_k1_matches_baseline	best_set_k2_matches_baseline	best_set_k3_matches_baseline	best_set_k4_matches_baseline	best_set_k5_matches_baseline	best_set_k6_matches_baseline
baseline	baseline	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_variable	tol_variable=0.1	0.19857139042438315	0.004754232702548481	0.996387207377215	0.9	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719780785082627	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_variable	tol_variable=0.25	0.19857139042438315	0.004754232742668077	0.9965180843048548	0.9	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719817625734599	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_variable	tol_variable=0.5	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_variable	tol_variable=0.75	0.19857139042438315	0.004754232876401206	0.9999980454221016	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719940427888796	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_variable	tol_variable=1	0.19857139042438315	0.004754232943268627	0.9999960571560209	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009720001828954847	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_invariant	tol_invariant=0.001	0.19857139042438315	9.277860051500923e-05	0.9543455753223964	0.7	9.277860051500884e-05	8.607868713523585e-09	7.986260126576489e-13	7.409540378925835e-17	6.874467868161873e-21	6.3780350809345495e-25	1	2	1.8265544576356942e-05	9.277860051500884e-05	8.607868713523592e-09	7.986260126576489e-13	7.409540378925835e-17	6.874467868161873e-21	6.3780350809345495e-25	5.917451688447385e-29	5.490128862693244e-33	True	True	True	True	False	False
tol_invariant	tol_invariant=0.01	0.19857139042438315	0.0009319266173519646	0.9824069995415633	0.75	0.0009319266173116839	8.684872200539955e-07	8.093663571633497e-10	7.542700513971204e-13	7.02924337538028e-16	6.55073900107871e-19	1	2	0.00018474349809253823	0.0009319266173116839	8.684872200539972e-07	8.093663571633497e-10	7.542700513971204e-13	7.02924337538028e-16	6.55073900107871e-19	6.104808038166996e-22	5.689233104346146e-25	True	True	True	True	True	True
tol_invariant	tol_invariant=0.05	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
tol_invariant	tol_invariant=0.15	0.19857139042438315	0.015032823361358196	0.9940469766006049	0.7	0.015032798097764477	0.0002259850186481508	3.397187158457199e-06	5.106922865340541e-08	7.677134033552121e-10	1.1540880589586527e-11	2	4	0.00332280261840721	0.015032798097764477	0.00022598501864815125	3.397187158457199e-06	5.106922865340541e-08	7.677134033552121e-10	1.1540880589586527e-11	1.7349172777366833e-13	2.608066115253874e-15	True	True	True	True	True	True
tol_invariant	tol_invariant=0.3	0.19857139042438315	0.03276651250440566	0.9838595547626318	0.35	0.03276596490876227	0.0010736084564022393	3.5177817008226445e-05	1.1526351176584428e-06	3.776720181780361e-08	1.2374788094642961e-09	3	5	0.0081675407693088	0.03276596490876227	0.0010736084564022409	3.51778170082275e-05	1.1526351176669027e-06	3.7767201818081015e-08	1.2374788094733854e-09	4.054718724807559e-11	1.328567714520769e-12	True	True	False	False	False	False
tol_invariant	tol_invariant=0.5	0.19857139042438315	0.062265886063615994	0.44060092917642074	0.4	0.062265886063616015	0.003877040567287212	0.00024140736622672238	1.5031443560390714e-05	9.359461521029628e-07	5.8277516468522867e-08	3	5	0.01836326489093732	0.062265886063616015	0.003877040567287209	0.00024140736622672238	1.5031443560390714e-05	9.359461521029628e-07	5.8277516468522867e-08	3.6287012004995522e-09	2.2594429550921153e-10	True	True	True	True	False	False
min_variant_strains	min_variant_strains=1	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
min_variant_strains	min_variant_strains=2	0.19857139042438315	0.00475423268917531	0.712374200359724	0.7	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	False	False
