label	k	p_escape	guides
baseline	1	0.00475423268917531	UL19_36407+
baseline	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
baseline	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
baseline	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
baseline	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
baseline	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
tol_variable=0.1	1	0.00475423268917531	UL19_36407+
tol_variable=0.1	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
tol_variable=0.1	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
tol_variable=0.1	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
tol_variable=0.1	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
tol_variable=0.1	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
tol_variable=0.25	1	0.00475423268917531	UL19_36407+
tol_variable=0.25	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
tol_variable=0.25	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
tol_variable=0.25	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
tol_variable=0.25	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
tol_variable=0.25	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
tol_variable=0.5	1	0.00475423268917531	UL19_36407+
tol_variable=0.5	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
tol_variable=0.5	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
tol_variable=0.5	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
tol_variable=0.5	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
