guide_id	published_name	rank_in_gene	cons_183	cons_gene_level	n_gene_level_records	cons_subgenomic	n_subgenomic_records	n_reference_copies	gc_content	local_gc_200bp	max_homopolymer_run	has_polyT	passes_filters	q_site	joint_conservation_with_icp27g1	n_genomes_both_present	p_escape_with_icp27g1	nngrrt_le3	nngrrt_le4	nngrrt_seed_le1	nngrrn_le3	nngrrn_le4	nngrrn_seed_le1	cds_le3	nngrrt_le3_21nt	nngrrt_le4_21nt	nngrrn_le3_21nt	nngrrn_le4_21nt	cds_le3_21nt
RL2_5335+		1	1.0	1.0	429	1.0	36	2	0.65	0.725	2	False	True	0.0094858626500384	0.9781420765027322	179	0.0002514535098093381	0	3	1	2	41	19	0	0	0	0	6	0
RL2_3364+		2	1.0	0.978824	425	1.0	32	2	0.75	0.71	2	False	True	0.0094858626500384	0.9781420765027322	179	0.0002514535098093381	0	5	1	1	54	21	0	0	2	0	20	0
RL2_5080+		3	1.0	0.990676	429	0.972222	36	2	0.65	0.69	3	False	True	0.009485862649888	0.9781420765027322	179	0.0002514535098053513	0	10	5	1	61	31	0	0	2	1	18	0
RL2_3441+		4	1.0	1.0	425	1.0	32	2	0.5	0.635	4	False	True	0.0094858626558352	0.9781420765027322	179	0.0002514535099630012	6	19	7	9	78	17	0	1	11	2	28	0
RL2_3196-		7	0.994536	0.985748	421	0.892857	28	2	0.75	0.74	2	False	True	0.0094858725754832	0.9726775956284153	178	0.0002771867491104326	1	11	1	4	70	9	1	0	6	2	34	0
RL2_5167-		8	0.994536	1.0	429	1.0	36	2	0.55	0.68	4	False	True	0.009485862649888	0.9726775956284153	178	0.00027718648625824847	0	23	4	3	90	16	1	0	8	2	26	1
RL2_5395-		10	0.989071	1.0	429	1.0	36	2	0.75	0.695	3	False	True	0.009485862649888	0.9672131147540983	177	0.00030291946271114557	0	13	4	5	89	25	0	0	3	3	26	0
RL2_5319+	ICP0g1	12	0.983607	0.983491	424	1.0	31	2	0.8	0.735	5	False	False	0.009505720775655	0.9617486338797814	176	0.00032917729539128554	1	4	0	1	19	5	0	0	2	0	4	0
RL2_3568-		18	0.967213	0.983452	423	0.966667	30	2	0.7	0.685	3	False	True	0.0095057207757068	0.9453551912568307	173	0.00040637467704395403	0	28	1	38	349	8	0	0	8	3	77	0
RL2_3576-		22	0.95082	0.940898	423	0.966667	30	2	0.7	0.675	2	False	True	0.0928243810085632	0.9289617486338798	170	0.0026727218489027557	2	26	4	12	151	36	5	1	5	3	37	0
RL2_4810-		23	0.95082	0.948113	424	0.969697	33	2	0.75	0.815	2	False	True	0.1147506840267661	0.9289617486338798	170	0.003248822826981089	0	18	2	4	97	7	0	0	4	2	32	0
RL2_4659+		25	0.945355	0.942308	416	0.962963	27	2	0.7	0.81	2	False	True	0.0094858626558352	0.9234972677595629	169	0.0005087832744904275	3	24	6	8	146	33	0	1	3	2	23	0
RL2_3515+		30	0.89071	0.875895	419	1.0	26	2	0.65	0.635	3	False	True	0.0094858626500384	0.8688524590163934	159	0.0007661130388672027	0	4	0	3	38	7	2	0	1	1	10	0
RL2_4496+	ICP0g2	31	0.846995	0.8975	400	0.952381	21	2	0.6	0.84	2	False	True	0.0094862913483246	0.825136612021858	151	0.0009719879026815349	0	5	1	5	56	8	0	0	0	1	15	0
