accession	strain	length_bp	ambiguous_fraction	cluster_id	cluster_size	is_representative	nearest_accession	nearest_identity	nearest_jaccard
AB618031.1	RH2	149643	0.0195933	0	1	True	OP297885.1	0.994285	0.7968
BK012101.1	17	152222	0.0	1	9	False	JN555585.1	1.0	1.0
JN555585.1	17	152222	0.0	1	9	False	BK012101.1	1.0	1.0
MN159377.1	nan	152245	0.00051233	1	9	False	BK012101.1	0.999755	0.9898
MN159378.1	nan	152288	0.00066322	1	9	False	BK012101.1	0.999775	0.9906
MN159379.1	nan	152244	0.00042038	1	9	False	BK012101.1	0.999779	0.9908
NC_001806.2	17	152222	0.0	1	9	False	BK012101.1	1.0	1.0
OZ348666.1	nan	152155	0.02605895	1	9	False	OZ348992.1	0.999967	0.9986
OZ348992.1	nan	152154	0.0260657	1	9	False	OZ348666.1	0.999967	0.9986
X14112.1	17	152261	0.0	1	9	True	BK012101.1	0.9996	0.9834
GU734771.1	F	152151	0.0	2	2	True	OZ348811.1	0.999531	0.9806
OZ348811.1	nan	151644	0.0250521	2	2	False	GU734771.1	0.999531	0.9806
GU734772.1	H129	152066	0.0	3	1	True	LT594105.1	0.995785	0.8438
JQ673480.1	KOS	152011	0.0	4	5	True	KT899744.1	0.999856	0.994
JQ780693.1	KOS	151024	0.0	4	5	False	JQ673480.1	0.999799	0.9916
KT887224.1	nan	151794	0.0	4	5	False	KT899744.1	0.999885	0.9952
KT899744.1	nan	151974	0.0	4	5	False	KT887224.1	0.999885	0.9952
MF156584.1	nan	149586	0.0	4	5	False	JQ673480.1	0.999214	0.9678
KF498959.1	nan	151255	0.0	5	2	True	ON960060.1	0.999224	0.9682
ON960060.1	HSV1-San-Francisco-USA-1967-RE	152428	0.03990737	5	2	False	KF498959.1	0.999224	0.9682
KJ847330.1	nan	151024	0.0	6	1	True	MH319852.1	0.998394	0.9358
KX424525.1	nan	152090	0.0	7	1	True	OQ724894.1	0.99694	0.8828
KY922718.1	nan	151636	0.00013849	8	2	True	KY922719.1	0.999957	0.9982
KY922719.1	nan	151765	0.00021085	8	2	False	KY922718.1	0.999957	0.9982
LT594105.1	nan	151217	0.00728754	9	1	True	ON960059.1	0.995852	0.846
LT594106.1	nan	150670	0.00404858	10	1	True	OQ724833.1	0.994906	0.8158
LT594107.1	nan	151283	0.01936768	11	1	True	PZ169694.1	0.998415	0.9366
