accession	record_class	length_bp	n_ambiguous	strand_vs_reference	n_anchor_chains	ref_span_start	ref_span_end	genes_covered	n_guides_scored
AB009254.2	subgenomic	1131	0	-	1	46681	47801		0
AB009255.3	subgenomic	843	0	-	1	46965	47801		0
AB009258.1	subgenomic	1131	0	-	1	46673	47801		0
AB009259.1	subgenomic	1131	0	-	1	46673	47777		0
AB009260.1	subgenomic	1131	0	-	1	46673	47801		0
AB009264.1	subgenomic	1881	0	-	1	25008	26888		0
AB009265.2	subgenomic	1881	0	-	1	25008	26888		0
AB009266.2	subgenomic	1881	0	-	1	25032	26888		0
AB009267.1	subgenomic	1470	0	-	1	91167	92635		0
AB009268.1	subgenomic	1557	0	-	1	26947	28503		0
AB032866.1	subgenomic	1131	0	-	1	46673	47801		0
AB032867.1	subgenomic	1131	0	-	1	46673	47801		0
AB032868.1	subgenomic	1131	0	-	1	46673	47801		0
AB032869.1	subgenomic	1131	0	-	1	46673	47801		0
AB032870.1	subgenomic	1131	0	-	1	46673	47801		0
AB032871.1	subgenomic	1131	0	-	1	46673	47801		0
AB032872.1	subgenomic	1131	0	-	1	46673	47801		0
AB032873.1	subgenomic	1131	0	-	1	46673	47801		0
AB032874.1	subgenomic	1131	0	-	1	46673	47801		0
AB032875.1	subgenomic	1131	0	-	1	46673	47801		0
AB032876.1	subgenomic	1131	0	-	1	46673	47801		0
AB032877.1	subgenomic	1131	0	-	1	46673	47801		0
AB032878.1	subgenomic	1131	0	-	1	46673	47801		0
AB032879.1	subgenomic	1131	0	-	1	46673	47789		0
AB032880.1	subgenomic	1131	0	-	1	46673	47801		0
AB032881.1	subgenomic	1131	0	-	1	46673	47801		0
AB032882.1	subgenomic	1131	0	-	1	46673	47801		0
AB032883.1	subgenomic	1131	0	-	1	46673	47801		0
AB032884.1	subgenomic	1131	0	-	1	46673	47801		0
AB032885.1	subgenomic	1131	0	-	1	46673	47801		0
AB032886.1	subgenomic	1131	0	-	1	46673	47777		0
AB032887.1	subgenomic	1131	0	-	1	46673	47777		0
AB032888.1	subgenomic	1131	0	-	1	46673	47777		0
AB032889.1	subgenomic	1131	0	-	1	46673	47777		0
AB032890.1	subgenomic	1131	0	-	1	46673	47777		0
AB047358.1	subgenomic	1255	0	-	1	46549	47801		0
AB047359.1	subgenomic	1232	0	-	1	46573	47800		0
AB047365.1	subgenomic	1256	0	-	1	46547	47800		0
AB047366.1	subgenomic	1228	0	-	1	46575	47800		0
AB047367.1	subgenomic	818	0	-	2	46550	47802		0
AB047368.1	subgenomic	1249	0	-	1	46555	47803		0
AB047369.1	subgenomic	1251	0	-	1	46577	47801		0
AB047370.1	subgenomic	1251	0	-	1	46553	47801		0
AB047371.1	subgenomic	1188	0	-	1	46616	47800		0
AB047372.1	subgenomic	1252	0	-	1	46556	47800		0
AB047373.1	subgenomic	1250	0	-	1	46554	47802		0
AB047374.1	subgenomic	1253	0	-	1	46551	47803		0
AB047375.1	subgenomic	1250	0	-	1	46554	47802		0
